Rank,agent_name,faction,ap,lifetime_ap,explorer,discoverer,seer,collector,recon,hacker,builder,connector,mind-controller,illuminator,binder,country-master,recharger,liberator,pioneer,purifier,neutralizer,disruptor,salvator,trekker,guardian,smuggler,link-master,controller,field-master,specops,engineer,sojourner,recruiter,translator,overclocker,missionday,nl-1331-meetups,recursions,prime_challenge,stealth_ops,urban_ops,opr_live,ocf,intel_ops,ifs,scout,drone_explorer,drone_distance,maverick,drone_recalls,drone_sender,second_sunday,operation_chronos,cryptic_memories_op,scout_controller,bb_combatant,red-disruptor,red-purifier,red-neutralizer,reclaimer,research_bounties,research_days,crafter,epoch,level,last_submit
16,CampaspeCreek,enl,66295749,476295749,29537,216,48,1387652401,3302,197824,768502,86523,61298,60088501,1256,2997588,735725514,97347,21175,422835,77400,69679,32478,18081,401,1080,18567,348,7432281,1656,98907,1360,0,931190,19445,19,9,3,0,0,0,1,0,0,17,2488,1149,18,6706,56,87,23,0,0,1542,137,5143,42211,5213,5609,940,231,2043,152,16,2024-10-03 18:00:41
17,Aore,res,63719110,163719110,56106,100,37,516619635,5298,142240,260454,37634,25234,1238670108,3804,80692016,252861449,47362,19000,187202,37648,29623,14145,9575,942,490,8167,196,28031618,6624,34388,493,0,215354,0,38,5,1,0,0,0,1,0,0,32,0,290,13,671,27,13,10,0,0,0,37,0,0,0,0,0,0,160,68,16,2022-11-17 11:31:32
18,M1chaeI,enl,46963047,296963047,67571,46,0,382573368,1465,176705,329422,31423,13305,7492607,86,300566,85990884,88454,43946,296815,59276,45124,22205,11283,311,69,216,46,44155,12600,37157,720,8,420906,12663,47,20,4,0,0,0,0,0,0,58,17431,660,6,3136,158,188,32,0,0,9084,1084,4875,41744,5142,4595,722,138,1036,140,16,2024-09-29 12:44:06
19,Deaf1,enl,45245782,211554506,30009,193,26,786369260,10512,158447,230862,31775,18093,53256632,6326,237814,352830555,56712,20945,319676,50582,69941,36123,7023,1108,1063,349974,1063,4940671,573,45924,419,1,205101,0,0,2,1,0,0,0,0,0,0,1,3,18,0,157,5,68,0,0,0,3,80,2122,17420,2120,1307,45,6,422,35,16,2024-07-01 10:23:56
20,Mernie9,enl,43344300,340439665,27194,727,0,2275265832,41355,156133,250898,71926,49338,7432103,56,810612,1898809490,48728,21059,186122,31286,34701,17102,10121,1209,1112,1826,886,800867,3816,54841,1307,0,663674,0,17,7,5,0,0,0,2,0,0,44,1252,541,11,13945,28,45,32,0,0,745,142,4297,34837,4274,3469,915,216,1476,171,16,2024-09-28 21:59:53
21,EvilSuperHeros,res,41185420,820196499,36012,416,295,3416661820,5959,665105,1027176,166505,98347,189635419,919,18264436,2347152225,180518,27206,647963,101702,112968,50924,13290,3159,1482,8508,536,9531608,1226,180224,404,0,1267737,11692,18,9,10,0,0,0,0,0,0,49,0,350,21,13667,9,138,31,0,0,0,93,14091,112891,13847,9675,943,235,2570,157,16,2024-09-30 22:23:55
22,SpineyNorman,enl,37530945,437558056,129753,7,2,1091796568,0,222008,447108,54176,35223,74534143,853,1124842,541142056,169039,89720,442729,72213,71958,30185,12867,1415,902,5888,902,791444,728,69300,1240,0,316927,108,0,0,4,0,0,0,0,0,0,49,0,480,32,21216,17,253,0,0,0,0,399,16345,140158,17222,14598,861,207,1065,152,15,2024-09-10 09:15:56
23,ijliao,enl,28739211,328739211,42321,138,130,807245955,2123,317806,607327,78040,32836,4525244,178,141277,286824520,104442,27149,424006,83076,61802,26874,15429,412,108,168,47,2295,5328,54387,1220,0,542285,0,11,1,1,0,0,0,0,0,0,9,0,128,3,159,23,54,8,0,0,0,113,713,6009,696,554,632,144,841,135,15,2024-08-05 18:31:36
24,djlavoe,res,27634683,240794996,31114,142,122,711698047,0,146390,301215,19796,14980,6129508,5722,260379,395061511,60273,25130,207139,31959,28817,10411,10512,1080,218,139288,131,2966966,1021,51691,945,5,300889,1655,7,2,5,0,0,0,0,0,0,19,1,402,22,7382,35,230,26,0,0,1,211,8310,66862,7972,5738,943,233,1415,177,15,2024-09-28 16:42:58
25,Sproutthingy,enl,25004387,905228995,63553,12,0,1904445432,0,412976,1390101,39204,27825,610319,25,104520,594558940,238154,59759,809352,136270,200726,119809,24934,726,218,237,121,33852,5313,161214,2382,0,1466623,10,17,4,23,0,0,0,0,0,0,16,0,168,3,6714,72,552,30,0,0,0,140,5121,42221,5195,5982,940,233,3906,180,15,2024-10-01 09:33:56
26,ReplicantDrake,res,24962367,1610894975,117777,714,0,1156311269,20604,555494,943005,166375,215177,33554513140,6673,200445088,572602412,252086,72996,854959,128095,145364,59411,22818,1068,763,251618,165,2147483647,1800,132539,589,0,523294,1863,25,8,39,0,0,6,3,8,0,53,28777,5795,10,16835,54,355,27,0,0,32211,1002,50084,421818,51943,41660,729,170,2521,166,15,2024-08-15 01:29:11
27,katzenverwalter,enl,24782952,624784103,36793,196,16,1994809170,548,282927,743434,202452,132578,15978013,232,1627635,1322678726,103536,27047,282245,55474,43236,19436,24098,1048,568,2806,387,214546,2160,98201,2017,2,810602,239,23,4,5,0,0,0,0,0,0,53,160,971,8,3666,42,67,32,0,0,202,221,3489,27775,3340,2989,956,236,2202,179,15,2024-10-03 00:11:07
28,TeyQuirisi,res,24404276,444584814,61437,173,151,1768835844,964,474161,511794,89115,65129,102957635,5722,1332402,1031755859,106188,33723,480793,78931,73755,32520,13610,824,655,139280,431,3128740,7350,120735,514,0,277662,5,20,2,6,0,0,0,0,1,0,40,86,638,46,10194,36,64,14,0,0,58,110,8172,68093,7904,3986,681,92,1616,120,15,2024-09-30 07:03:14
29,8poq8,res,20996562,60996562,330333,18,5,372372203,115,272821,126410,8820,8060,17007170,5,15214,101911772,3051,2264,17593,1581,8441,5144,51615,943,205,148,165,84645,0,25542,1263,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,3,12,0,0,0,0,54,168,537,66,1,176,0,6090,179,14,2024-09-30 21:15:54
30,CliffM,res,19546395,719546395,62472,206,7,2113067859,11019,400203,641412,109261,110695,188453175,389,4607834,1069151209,137547,40184,723462,123580,131449,62418,19076,852,419,2379,313,7019878,5610,128221,1265,0,1076817,34867,36,18,11,0,0,0,3,0,2,62,6000,829,14,13568,30,308,32,0,0,12000,1066,13533,115521,14481,14350,956,239,2339,180,13,2024-10-02 23:18:53
31,TargoTrigaranus,enl,18677037,143605848,40841,53,0,387077652,2359,106515,247592,8105,5741,17496458,4007,1340096,177617356,48360,28169,148847,25632,28343,14177,10387,951,109,2118,109,159116,3073,38980,720,0,194397,113,16,6,3,0,0,0,0,0,0,15,60,1321,35,4805,29,65,14,0,0,35,205,4695,37192,4582,3684,890,209,554,140,14,2024-10-02 09:41:43
32,oscarc1,res,14149039,744711470,44181,1075,0,1016635122,25517,283037,454567,111129,88667,18351250,327,125787,538013948,123269,40841,683465,119250,101123,39421,12924,1224,875,54915,875,243341,1213,80707,2206,0,829540,114959,21,16,18,0,0,0,2,0,0,68,17569,18426,105,25700,157,171,32,0,0,16962,2378,29077,244173,29788,20276,939,234,2626,180,13,2024-09-30 20:47:25
33,Angiemangie,enl,13514022,294316735,31497,25,0,1182656980,8518,141667,211888,27911,17592,12824461,209,1633990,721592592,49216,23248,323441,50811,71802,48072,14457,375,287,688,96,130439,3839,50036,1406,0,478666,4457,16,5,7,0,0,0,2,2,0,42,1787,1503,11,32049,116,328,32,0,0,1444,777,3392,28263,3357,2400,941,227,2802,171,13,2024-10-03 11:11:28
34,Morganza,enl,12156639,277531520,53187,110,11,1027511555,943,216126,390964,50754,25714,30020729,3875,590331,499122717,80705,31231,339405,62046,62465,31449,11730,1296,209,11313,167,268408,8203,51076,1213,6,438672,0,49,20,3,0,0,0,1,1,4,69,0,309,8,1119,62,36,32,0,0,0,223,657,5827,691,672,833,192,427,138,13,2024-10-01 09:09:52
35,jnageek,enl,11011410,400659858,26921,169,67,997744263,1576,183643,446031,76837,56046,2799158,583,65134,434470152,89314,22298,355206,56197,86095,43363,18001,1611,807,3639,801,525013,2592,61745,3500,2,457765,10456,12,2,6,0,0,0,0,0,0,63,2408,2130,37,9525,81,119,32,0,0,2354,152,6705,52074,6444,6448,951,237,950,180,12,2024-10-02 22:15:30
36,11inn,enl,9962890,449962890,36947,459,0,1091896942,2191,241646,521789,69348,35146,67884826,82,69130,616920669,117530,30388,427258,84589,68277,30688,8569,455,559,4126,402,1394501,3150,80509,792,0,642186,8184,5,1,11,0,0,0,0,0,0,16,5258,411,2,5831,26,424,18,0,0,2502,565,9387,81632,9618,5075,722,140,2777,130,12,2024-09-29 13:14:47
37,Pangarban,res,9277237,356758137,42354,798,3,623569213,14655,180038,367308,79578,51420,17818697,94,507101,228492295,72467,32434,265738,47014,51441,27490,12638,936,235,931,136,313501,2545,56448,3292,2,545725,1685,21,3,7,0,0,0,2,2,0,36,17143,1131,7,11117,25,96,29,0,0,15967,376,4973,38236,4723,4164,723,152,513,168,10,2024-09-02 06:48:42
38,Blaumut,res,6957857,717532717,63758,922,248,2035141234,44163,424905,1044659,164357,104177,407393126,5225,174950176,1027949256,149617,45477,607447,117635,104284,56566,24541,764,342,31308,234,336754016,5118,122544,1370,3,1378556,10189,28,8,12,0,0,2,1,2,0,61,14507,1995,34,11363,91,381,29,0,0,12998,701,3330,28206,3308,2532,810,164,1946,177,11,2024-09-30 06:51:12
39,eigood,res,5206329,1766443820,34688,205,18,2459959927,106,875841,1801512,384563,384244,362573194,773,4531242,1071814794,255561,28027,993378,178843,159198,66573,41839,822,787,2006,205,1071062,3904,298283,3445,0,2181435,0,15,9,38,0,0,0,0,0,0,69,0,983,11,26125,32,238,32,0,0,0,688,13935,119453,15075,15209,948,235,5353,179,16,2024-10-02 07:22:47
40,DhrMekmek,enl,5197268,354291165,70094,60,20,747331031,106,295627,495477,55005,19631,138211557,2796,93454240,298615657,124161,48086,376623,79317,62486,31332,14728,765,595,1054,355,13962090,10686,66725,2107,6,251563,136,44,15,6,0,0,0,2,7,0,68,702,565,19,2744,111,201,32,0,0,319,816,2303,19730,2392,2158,881,205,1409,176,10,2024-09-30 08:49:21
41,OoFUNKYoO,enl,0,561810252,27287,47,0,1793957358,1445,300355,499415,92057,62710,1351870878,96,1150283,1127715381,121460,25889,532916,84130,107465,62654,10183,1125,474,25429,250,10037761,942,87589,935,0,468436,18424,10,7,3,0,0,0,0,0,0,40,17809,343,20,1395,41,454,15,0,0,18176,229,5295,41714,5132,4399,298,34,2047,157,1,2024-07-20 14:43:31
